% This data was collected by Sergio Giraldo, MTG, Pompeu Fabra University, 2016 (sergio.giraldo@upf.edu). If you make use of this data please refer to the following citattions:
% Giraldo, Sergio, and Ramirez, Rafael (2015). Computational modeling of ornamentation in jazz guitar music, In proc. of International Symposium in Performance Science, ISPS 2015, September, Kyoto, Japan.
% Giraldo, Sergio, and Ramirez, Rafael(2015) . Computational Generation and Synthesis of Jazz Guitar Ornaments using Machine Learning Modeling. In proc. of International Workshop in Machine Learning and Music MML 2015, August, Vancouver, Canada.

@relation marc

@ATTRIBUTE onset_b numeric
@ATTRIBUTE duration_b numeric
@ATTRIBUTE ch numeric
@ATTRIBUTE pitch numeric
@ATTRIBUTE vel numeric
@ATTRIBUTE onset_s numeric
@ATTRIBUTE dur_s numeric
@ATTRIBUTE measure numeric
@ATTRIBUTE pre_dur_b numeric
@ATTRIBUTE pre_dur_s numeric
@ATTRIBUTE nxt_dur_b numeric
@ATTRIBUTE nxt_dur_s numeric
@ATTRIBUTE onset_b_mod numeric
@ATTRIBUTE pitch_mod numeric
@ATTRIBUTE prev_int numeric
@ATTRIBUTE next_int numeric
@ATTRIBUTE keyFifits numeric
@ATTRIBUTE note2key numeric
@ATTRIBUTE chord { Am }
@ATTRIBUTE chord_id numeric
@ATTRIBUTE chord_type { m }
@ATTRIBUTE note2chord numeric
@ATTRIBUTE isChordN { n }
@ATTRIBUTE mtr { s ss w ww }
@ATTRIBUTE nar1 { P R D ID IP VP IR VR SA SB NA }
@ATTRIBUTE nar2 { P R D ID IP VP IR VR SA SB NA }
@ATTRIBUTE nar3 { P R D ID IP VP IR VR SA SB NA }
@ATTRIBUTE tempo numeric
@ATTRIBUTE phrase { f i m }
@ATTRIBUTE fileName { Suite_en_la.xml }

@data
4.000000,3.000000,1.000000,45.000000,80.000000,2.666667,2.000000,2.000000,0.333333,0.222222,0.333333,0.222222,0.000000,9.000000,19.000000,17.000000,0.000000,9.000000,Am,9.000000,m,0.000000,n,ss,R,P,P,90.000000,f,Suite_en_la.xml
7.000000,0.333333,1.000000,62.000000,80.000000,4.666667,0.222222,2.000000,3.000000,2.000000,0.333333,0.222222,3.000000,2.000000,-17.000000,-2.000000,0.000000,2.000000,Am,9.000000,m,7.000000,n,w,P,P,IP,90.000000,i,Suite_en_la.xml
7.333333,0.333333,1.000000,60.000000,80.000000,4.888889,0.222222,2.000000,0.333333,0.222222,0.333333,0.222222,3.333333,0.000000,2.000000,-1.000000,0.000000,0.000000,Am,9.000000,m,9.000000,n,ww,P,IP,P,90.000000,m,Suite_en_la.xml
7.666667,0.333333,1.000000,59.000000,80.000000,5.111111,0.222222,2.000000,0.333333,0.222222,0.333333,0.222222,3.666667,11.000000,1.000000,-2.000000,0.000000,11.000000,Am,9.000000,m,2.000000,n,ww,IP,P,P,90.000000,m,Suite_en_la.xml
8.000000,0.333333,1.000000,57.000000,80.000000,5.333333,0.222222,2.000000,0.333333,0.222222,0.333333,0.222222,4.000000,9.000000,2.000000,2.000000,0.000000,9.000000,Am,9.000000,m,0.000000,n,ww,P,P,IP,90.000000,m,Suite_en_la.xml
8.333333,0.333333,1.000000,59.000000,80.000000,5.555556,0.222222,3.000000,0.333333,0.222222,0.333333,0.222222,0.333333,11.000000,-2.000000,1.000000,0.000000,11.000000,Am,9.000000,m,2.000000,n,ww,P,IP,P,90.000000,m,Suite_en_la.xml
8.666667,0.333333,1.000000,60.000000,80.000000,5.777778,0.222222,3.000000,0.333333,0.222222,0.500000,0.333333,0.666667,0.000000,-1.000000,2.000000,0.000000,0.000000,Am,9.000000,m,9.000000,n,ww,IP,P,IP,90.000000,m,Suite_en_la.xml
9.000000,0.500000,1.000000,62.000000,80.000000,6.000000,0.333333,3.000000,0.333333,0.222222,0.500000,0.333333,1.000000,2.000000,-2.000000,-5.000000,0.000000,2.000000,Am,9.000000,m,7.000000,n,w,P,IP,P,90.000000,m,Suite_en_la.xml
9.500000,0.500000,1.000000,57.000000,80.000000,6.333333,0.333333,3.000000,0.500000,0.333333,0.333333,0.222222,1.500000,9.000000,5.000000,-4.000000,0.000000,9.000000,Am,9.000000,m,0.000000,n,ww,IP,P,SB,90.000000,m,Suite_en_la.xml
10.000000,0.333333,1.000000,53.000000,80.000000,6.666667,0.222222,3.000000,0.500000,0.333333,0.333333,0.222222,2.000000,5.000000,4.000000,4.000000,0.000000,5.000000,Am,9.000000,m,4.000000,n,s,P,SB,R,90.000000,m,Suite_en_la.xml
10.333333,0.333333,1.000000,57.000000,80.000000,6.888889,0.222222,3.000000,0.333333,0.222222,0.333333,0.222222,2.333333,9.000000,-4.000000,2.000000,0.000000,9.000000,Am,9.000000,m,0.000000,n,ww,SB,R,P,90.000000,m,Suite_en_la.xml
10.666667,0.333333,1.000000,59.000000,80.000000,7.111111,0.222222,3.000000,0.333333,0.222222,0.333333,0.222222,2.666667,11.000000,-2.000000,-6.000000,0.000000,11.000000,Am,9.000000,m,2.000000,n,ww,R,P,P,90.000000,m,Suite_en_la.xml
11.000000,0.333333,1.000000,53.000000,80.000000,7.333333,0.222222,3.000000,0.333333,0.222222,0.333333,0.222222,3.000000,5.000000,6.000000,2.000000,0.000000,5.000000,Am,9.000000,m,4.000000,n,ww,P,P,P,90.000000,m,Suite_en_la.xml
11.333333,0.333333,1.000000,55.000000,80.000000,7.555556,0.222222,3.000000,0.333333,0.222222,0.333333,0.222222,3.333333,7.000000,-2.000000,2.000000,0.000000,7.000000,Am,9.000000,m,2.000000,n,ww,P,P,P,90.000000,m,Suite_en_la.xml
11.666667,0.333333,1.000000,57.000000,80.000000,7.777778,0.222222,3.000000,0.333333,0.222222,0.333333,0.222222,3.666667,9.000000,-2.000000,2.000000,0.000000,9.000000,Am,9.000000,m,0.000000,n,ww,P,P,P,90.000000,m,Suite_en_la.xml
12.000000,0.333333,1.000000,59.000000,80.000000,8.000000,0.222222,4.000000,0.333333,0.222222,0.333333,0.222222,0.000000,11.000000,-2.000000,1.000000,0.000000,11.000000,Am,9.000000,m,2.000000,n,ww,P,P,P,90.000000,m,Suite_en_la.xml
12.333333,0.333333,1.000000,60.000000,80.000000,8.222222,0.222222,4.000000,0.333333,0.222222,0.333333,0.222222,0.333333,0.000000,-1.000000,2.000000,0.000000,0.000000,Am,9.000000,m,9.000000,n,ww,P,P,SB,90.000000,m,Suite_en_la.xml
12.666667,0.333333,1.000000,62.000000,80.000000,8.444444,0.222222,4.000000,0.333333,0.222222,0.333333,0.222222,0.666667,2.000000,-2.000000,2.000000,0.000000,2.000000,Am,9.000000,m,7.000000,n,ww,P,SB,VR,90.000000,m,Suite_en_la.xml
13.000000,0.333333,1.000000,64.000000,80.000000,8.666667,0.222222,4.000000,0.333333,0.222222,0.333333,0.222222,1.000000,4.000000,-2.000000,1.000000,0.000000,4.000000,Am,9.000000,m,5.000000,n,ww,SB,VR,R,90.000000,m,Suite_en_la.xml
13.333333,0.333333,1.000000,65.000000,80.000000,8.888889,0.222222,4.000000,0.333333,0.222222,3.000000,2.000000,1.333333,5.000000,-1.000000,-20.000000,0.000000,5.000000,Am,9.000000,m,4.000000,n,ww,VR,R,P,90.000000,m,Suite_en_la.xml
13.666667,3.000000,1.000000,45.000000,80.000000,9.111111,2.000000,4.000000,0.333333,0.222222,0.666667,0.444444,1.666667,9.000000,20.000000,17.000000,0.000000,9.000000,Am,9.000000,m,0.000000,n,ww,R,P,IP,90.000000,f,Suite_en_la.xml
16.666667,0.666667,1.000000,62.000000,80.000000,11.111111,0.444444,5.000000,3.000000,2.000000,0.333333,0.222222,0.666667,2.000000,-17.000000,-2.000000,0.000000,2.000000,Am,9.000000,m,7.000000,n,ww,P,IP,P,90.000000,i,Suite_en_la.xml
17.333333,0.333333,1.000000,60.000000,80.000000,11.555556,0.222222,5.000000,0.666667,0.444444,0.333333,0.222222,1.333333,0.000000,2.000000,-1.000000,0.000000,0.000000,Am,9.000000,m,9.000000,n,ww,IP,P,P,90.000000,m,Suite_en_la.xml
17.666667,0.333333,1.000000,59.000000,80.000000,11.777778,0.222222,5.000000,0.333333,0.222222,0.333333,0.222222,1.666667,11.000000,1.000000,1.000000,0.000000,11.000000,Am,9.000000,m,2.000000,n,ww,P,P,IP,90.000000,m,Suite_en_la.xml
18.000000,0.333333,1.000000,60.000000,80.000000,12.000000,0.222222,5.000000,0.333333,0.222222,0.333333,0.222222,2.000000,0.000000,-1.000000,2.000000,0.000000,0.000000,Am,9.000000,m,9.000000,n,ww,P,IP,VP,90.000000,m,Suite_en_la.xml
18.333333,0.333333,1.000000,62.000000,80.000000,12.222222,0.222222,5.000000,0.333333,0.222222,0.500000,0.333333,2.333333,2.000000,-2.000000,2.000000,0.000000,2.000000,Am,9.000000,m,7.000000,n,ww,IP,VP,R,90.000000,m,Suite_en_la.xml
18.666667,0.500000,1.000000,64.000000,80.000000,12.444444,0.333333,5.000000,0.333333,0.222222,0.500000,0.333333,2.666667,4.000000,-2.000000,-5.000000,0.000000,4.000000,Am,9.000000,m,5.000000,n,ww,VP,R,VP,90.000000,m,Suite_en_la.xml
19.166667,0.500000,1.000000,59.000000,80.000000,12.777778,0.333333,5.000000,0.500000,0.333333,0.333333,0.222222,3.166667,11.000000,5.000000,-7.000000,0.000000,11.000000,Am,9.000000,m,2.000000,n,ww,R,VP,VR,90.000000,m,Suite_en_la.xml
19.666667,0.333333,1.000000,52.000000,80.000000,13.111111,0.222222,5.000000,0.500000,0.333333,0.333333,0.222222,3.666667,4.000000,7.000000,3.000000,0.000000,4.000000,Am,9.000000,m,5.000000,n,ww,VP,VR,R,90.000000,m,Suite_en_la.xml
20.000000,0.333333,1.000000,55.000000,80.000000,13.333333,0.222222,6.000000,0.333333,0.222222,0.333333,0.222222,0.000000,7.000000,-3.000000,6.000000,0.000000,7.000000,Am,9.000000,m,2.000000,n,ss,VR,R,P,90.000000,m,Suite_en_la.xml
20.333333,0.333333,1.000000,61.000000,80.000000,13.555556,0.222222,6.000000,0.333333,0.222222,0.333333,0.222222,0.333333,1.000000,-6.000000,-6.000000,0.000000,1.000000,Am,9.000000,m,8.000000,n,ww,R,P,P,90.000000,m,Suite_en_la.xml
20.666667,0.333333,1.000000,55.000000,80.000000,13.777778,0.222222,6.000000,0.333333,0.222222,0.333333,0.222222,0.666667,7.000000,6.000000,2.000000,0.000000,7.000000,Am,9.000000,m,2.000000,n,ww,P,P,P,90.000000,m,Suite_en_la.xml
21.000000,0.333333,1.000000,57.000000,80.000000,14.000000,0.222222,6.000000,0.333333,0.222222,0.333333,0.222222,1.000000,9.000000,-2.000000,2.000000,0.000000,9.000000,Am,9.000000,m,0.000000,n,ww,P,P,P,90.000000,m,Suite_en_la.xml
21.333333,0.333333,1.000000,59.000000,80.000000,14.222222,0.222222,6.000000,0.333333,0.222222,0.333333,0.222222,1.333333,11.000000,-2.000000,2.000000,0.000000,11.000000,Am,9.000000,m,2.000000,n,ww,P,P,P,90.000000,m,Suite_en_la.xml
21.666667,0.333333,1.000000,61.000000,80.000000,14.444444,0.222222,6.000000,0.333333,0.222222,0.333333,0.222222,1.666667,1.000000,-2.000000,1.000000,0.000000,1.000000,Am,9.000000,m,8.000000,n,ww,P,P,P,90.000000,m,Suite_en_la.xml
22.000000,0.333333,1.000000,62.000000,80.000000,14.666667,0.222222,6.000000,0.333333,0.222222,0.333333,0.222222,2.000000,2.000000,-1.000000,2.000000,0.000000,2.000000,Am,9.000000,m,7.000000,n,ww,P,P,SB,90.000000,m,Suite_en_la.xml
22.333333,0.333333,1.000000,64.000000,80.000000,14.888889,0.222222,6.000000,0.333333,0.222222,0.333333,0.222222,2.333333,4.000000,-2.000000,1.000000,0.000000,4.000000,Am,9.000000,m,5.000000,n,ww,P,SB,VR,90.000000,m,Suite_en_la.xml
22.666667,0.333333,1.000000,65.000000,80.000000,15.111111,0.222222,6.000000,0.333333,0.222222,0.333333,0.222222,2.666667,5.000000,-1.000000,2.000000,0.000000,5.000000,Am,9.000000,m,4.000000,n,ww,SB,VR,R,90.000000,m,Suite_en_la.xml
23.000000,0.333333,1.000000,67.000000,80.000000,15.333333,0.222222,6.000000,0.333333,0.222222,3.000000,2.000000,3.000000,7.000000,-2.000000,-22.000000,0.000000,7.000000,Am,9.000000,m,2.000000,n,ww,VR,R,P,90.000000,m,Suite_en_la.xml
23.333333,3.000000,1.000000,45.000000,80.000000,15.555556,2.000000,6.000000,0.333333,0.222222,0.666667,0.444444,3.333333,9.000000,22.000000,19.000000,0.000000,9.000000,Am,9.000000,m,0.000000,n,ww,R,P,IP,90.000000,f,Suite_en_la.xml
26.333333,0.666667,1.000000,64.000000,80.000000,17.555556,0.444444,7.000000,3.000000,2.000000,0.333333,0.222222,2.333333,4.000000,-19.000000,-2.000000,0.000000,4.000000,Am,9.000000,m,5.000000,n,ww,P,IP,P,90.000000,i,Suite_en_la.xml
27.000000,0.333333,1.000000,62.000000,80.000000,18.000000,0.222222,7.000000,0.666667,0.444444,0.333333,0.222222,3.000000,2.000000,2.000000,-1.000000,0.000000,2.000000,Am,9.000000,m,7.000000,n,ww,IP,P,P,90.000000,m,Suite_en_la.xml
27.333333,0.333333,1.000000,61.000000,80.000000,18.222222,0.222222,7.000000,0.333333,0.222222,0.333333,0.222222,3.333333,1.000000,1.000000,1.000000,0.000000,1.000000,Am,9.000000,m,8.000000,n,ww,P,P,IP,90.000000,m,Suite_en_la.xml
27.666667,0.333333,1.000000,62.000000,80.000000,18.444444,0.222222,7.000000,0.333333,0.222222,0.333333,0.222222,3.666667,2.000000,-1.000000,2.000000,0.000000,2.000000,Am,9.000000,m,7.000000,n,ww,P,IP,VP,90.000000,m,Suite_en_la.xml
28.000000,0.333333,1.000000,64.000000,80.000000,18.666667,0.222222,7.000000,0.333333,0.222222,0.500000,0.333333,4.000000,4.000000,-2.000000,1.000000,0.000000,4.000000,Am,9.000000,m,5.000000,n,ww,IP,VP,R,90.000000,m,Suite_en_la.xml
28.333333,0.500000,1.000000,65.000000,80.000000,18.888889,0.333333,8.000000,0.333333,0.222222,0.500000,0.333333,0.333333,5.000000,-1.000000,-4.000000,0.000000,5.000000,Am,9.000000,m,4.000000,n,ww,VP,R,P,90.000000,m,Suite_en_la.xml
28.833333,0.500000,1.000000,61.000000,80.000000,19.222222,0.333333,8.000000,0.500000,0.333333,0.333333,0.222222,0.833333,1.000000,4.000000,-8.000000,0.000000,1.000000,Am,9.000000,m,8.000000,n,ww,R,P,IP,90.000000,m,Suite_en_la.xml
29.333333,0.333333,1.000000,53.000000,80.000000,19.555556,0.222222,8.000000,0.500000,0.333333,0.333333,0.222222,1.333333,5.000000,8.000000,4.000000,0.000000,5.000000,Am,9.000000,m,4.000000,n,ww,P,IP,IP,90.000000,m,Suite_en_la.xml
29.666667,0.333333,1.000000,57.000000,80.000000,19.777778,0.222222,8.000000,0.333333,0.222222,0.333333,0.222222,1.666667,9.000000,-4.000000,5.000000,0.000000,9.000000,Am,9.000000,m,0.000000,n,ww,IP,IP,P,90.000000,m,Suite_en_la.xml
30.000000,0.333333,1.000000,62.000000,80.000000,20.000000,0.222222,8.000000,0.333333,0.222222,0.333333,0.222222,2.000000,2.000000,-5.000000,-5.000000,0.000000,2.000000,Am,9.000000,m,7.000000,n,ww,IP,P,P,90.000000,m,Suite_en_la.xml
30.333333,0.333333,1.000000,57.000000,80.000000,20.222222,0.222222,8.000000,0.333333,0.222222,0.333333,0.222222,2.333333,9.000000,5.000000,2.000000,0.000000,9.000000,Am,9.000000,m,0.000000,n,ww,P,P,P,90.000000,m,Suite_en_la.xml
30.666667,0.333333,1.000000,59.000000,80.000000,20.444444,0.222222,8.000000,0.333333,0.222222,0.333333,0.222222,2.666667,11.000000,-2.000000,2.000000,0.000000,11.000000,Am,9.000000,m,2.000000,n,ww,P,P,P,90.000000,m,Suite_en_la.xml
31.000000,0.333333,1.000000,61.000000,80.000000,20.666667,0.222222,8.000000,0.333333,0.222222,0.333333,0.222222,3.000000,1.000000,-2.000000,1.000000,0.000000,1.000000,Am,9.000000,m,8.000000,n,ww,P,P,P,90.000000,m,Suite_en_la.xml
31.333333,0.333333,1.000000,62.000000,80.000000,20.888889,0.222222,8.000000,0.333333,0.222222,0.333333,0.222222,3.333333,2.000000,-1.000000,2.000000,0.000000,2.000000,Am,9.000000,m,7.000000,n,ww,P,P,P,90.000000,m,Suite_en_la.xml
31.666667,0.333333,1.000000,64.000000,80.000000,21.111111,0.222222,8.000000,0.333333,0.222222,0.333333,0.222222,3.666667,4.000000,-2.000000,1.000000,0.000000,4.000000,Am,9.000000,m,5.000000,n,ww,P,P,SB,90.000000,m,Suite_en_la.xml
32.000000,0.333333,1.000000,65.000000,80.000000,21.333333,0.222222,8.000000,0.333333,0.222222,0.333333,0.222222,4.000000,5.000000,-1.000000,2.000000,0.000000,5.000000,Am,9.000000,m,4.000000,n,ww,P,SB,VR,90.000000,m,Suite_en_la.xml
32.333333,0.333333,1.000000,67.000000,80.000000,21.555556,0.222222,9.000000,0.333333,0.222222,0.333333,0.222222,0.333333,7.000000,-2.000000,2.000000,0.000000,7.000000,Am,9.000000,m,2.000000,n,ww,SB,VR,R,90.000000,m,Suite_en_la.xml
32.666667,0.333333,1.000000,69.000000,80.000000,21.777778,0.222222,9.000000,0.333333,0.222222,3.000000,2.000000,0.666667,9.000000,-2.000000,-24.000000,0.000000,9.000000,Am,9.000000,m,0.000000,n,ww,VR,R,P,90.000000,m,Suite_en_la.xml
33.000000,3.000000,1.000000,45.000000,80.000000,22.000000,2.000000,9.000000,0.333333,0.222222,0.666667,0.444444,1.000000,9.000000,24.000000,20.000000,0.000000,9.000000,Am,9.000000,m,0.000000,n,ww,R,P,IP,90.000000,f,Suite_en_la.xml
36.000000,0.666667,1.000000,65.000000,80.000000,24.000000,0.444444,9.000000,3.000000,2.000000,0.333333,0.222222,4.000000,5.000000,-20.000000,-1.000000,0.000000,5.000000,Am,9.000000,m,4.000000,n,ww,P,IP,P,90.000000,i,Suite_en_la.xml
36.666667,0.333333,1.000000,64.000000,80.000000,24.444444,0.222222,10.000000,0.666667,0.444444,0.333333,0.222222,0.666667,4.000000,1.000000,-2.000000,0.000000,4.000000,Am,9.000000,m,5.000000,n,ww,IP,P,P,90.000000,m,Suite_en_la.xml
37.000000,0.333333,1.000000,62.000000,80.000000,24.666667,0.222222,10.000000,0.333333,0.222222,0.333333,0.222222,1.000000,2.000000,2.000000,2.000000,0.000000,2.000000,Am,9.000000,m,7.000000,n,ww,P,P,SB,90.000000,m,Suite_en_la.xml
37.333333,0.333333,1.000000,64.000000,80.000000,24.888889,0.222222,10.000000,0.333333,0.222222,0.333333,0.222222,1.333333,4.000000,-2.000000,1.000000,0.000000,4.000000,Am,9.000000,m,5.000000,n,ww,P,SB,ID,90.000000,m,Suite_en_la.xml
37.666667,0.333333,1.000000,65.000000,80.000000,25.111111,0.222222,10.000000,0.333333,0.222222,0.500000,0.333333,1.666667,5.000000,-1.000000,3.000000,0.000000,5.000000,Am,9.000000,m,4.000000,n,ww,SB,ID,R,90.000000,m,Suite_en_la.xml
38.000000,0.500000,1.000000,68.000000,80.000000,25.333333,0.333333,10.000000,0.333333,0.222222,0.500000,0.333333,2.000000,8.000000,-3.000000,-6.000000,0.000000,8.000000,Am,9.000000,m,1.000000,n,ww,ID,R,P,90.000000,m,Suite_en_la.xml
38.500000,0.500000,1.000000,62.000000,80.000000,25.666667,0.333333,10.000000,0.500000,0.333333,0.333333,0.222222,2.500000,2.000000,6.000000,-6.000000,0.000000,2.000000,Am,9.000000,m,7.000000,n,ww,R,P,IP,90.000000,m,Suite_en_la.xml
39.000000,0.333333,1.000000,56.000000,80.000000,26.000000,0.222222,10.000000,0.500000,0.333333,0.333333,0.222222,3.000000,8.000000,6.000000,3.000000,0.000000,8.000000,Am,9.000000,m,1.000000,n,ww,P,IP,IP,90.000000,m,Suite_en_la.xml
39.333333,0.333333,1.000000,59.000000,80.000000,26.222222,0.222222,10.000000,0.333333,0.222222,0.333333,0.222222,3.333333,11.000000,-3.000000,5.000000,0.000000,11.000000,Am,9.000000,m,2.000000,n,ww,IP,IP,P,90.000000,m,Suite_en_la.xml
39.666667,0.333333,1.000000,64.000000,80.000000,26.444444,0.222222,10.000000,0.333333,0.222222,0.333333,0.222222,3.666667,4.000000,-5.000000,-5.000000,0.000000,4.000000,Am,9.000000,m,5.000000,n,ww,IP,P,P,90.000000,m,Suite_en_la.xml
40.000000,0.333333,1.000000,59.000000,80.000000,26.666667,0.222222,10.000000,0.333333,0.222222,0.333333,0.222222,4.000000,11.000000,5.000000,1.000000,0.000000,11.000000,Am,9.000000,m,2.000000,n,ww,P,P,P,90.000000,m,Suite_en_la.xml
40.333333,0.333333,1.000000,60.000000,80.000000,26.888889,0.222222,11.000000,0.333333,0.222222,0.333333,0.222222,0.333333,0.000000,-1.000000,2.000000,0.000000,0.000000,Am,9.000000,m,9.000000,n,ww,P,P,P,90.000000,m,Suite_en_la.xml
40.666667,0.333333,1.000000,62.000000,80.000000,27.111111,0.222222,11.000000,0.333333,0.222222,0.333333,0.222222,0.666667,2.000000,-2.000000,2.000000,0.000000,2.000000,Am,9.000000,m,7.000000,n,ww,P,P,P,90.000000,m,Suite_en_la.xml
41.000000,0.333333,1.000000,64.000000,80.000000,27.333333,0.222222,11.000000,0.333333,0.222222,0.333333,0.222222,1.000000,4.000000,-2.000000,1.000000,0.000000,4.000000,Am,9.000000,m,5.000000,n,w,P,P,P,90.000000,m,Suite_en_la.xml
41.333333,0.333333,1.000000,65.000000,80.000000,27.555556,0.222222,11.000000,0.333333,0.222222,0.333333,0.222222,1.333333,5.000000,-1.000000,3.000000,0.000000,5.000000,Am,9.000000,m,4.000000,n,ww,P,P,SB,90.000000,m,Suite_en_la.xml
41.666667,0.333333,1.000000,68.000000,80.000000,27.777778,0.222222,11.000000,0.333333,0.222222,0.333333,0.222222,1.666667,8.000000,-3.000000,1.000000,0.000000,8.000000,Am,9.000000,m,1.000000,n,ww,P,SB,VR,90.000000,m,Suite_en_la.xml
42.000000,0.333333,1.000000,69.000000,80.000000,28.000000,0.222222,11.000000,0.333333,0.222222,0.333333,0.222222,2.000000,9.000000,-1.000000,2.000000,0.000000,9.000000,Am,9.000000,m,0.000000,n,ww,SB,VR,R,90.000000,m,Suite_en_la.xml
42.333333,0.333333,1.000000,71.000000,80.000000,28.222222,0.222222,11.000000,0.333333,0.222222,3.000000,2.000000,2.333333,11.000000,-2.000000,-26.000000,0.000000,11.000000,Am,9.000000,m,2.000000,n,ww,VR,R,P,90.000000,m,Suite_en_la.xml
42.666667,3.000000,1.000000,45.000000,80.000000,28.444444,2.000000,11.000000,0.333333,0.222222,0.666667,0.444444,2.666667,9.000000,26.000000,23.000000,0.000000,9.000000,Am,9.000000,m,0.000000,n,ww,R,P,P,90.000000,f,Suite_en_la.xml
